Code,Name,TradeVolume,Transaction,TradeValue,TradePrice,BidVolume,AskVolume,date
031165,鴻海凱基56購05,,,,0.34,,,2026-05-15
03116T,臺股指富邦5B售12,,,,0.75,,,2026-05-15
03117T,T50正2元大5A售10,,,,0.94,,,2026-05-15
03118T,台股增元大5A售02,,,,1.15,,,2026-05-15
031194,光寶科國票57購02,,,,2.84,,,2026-05-15
03119T,南亞科中信5B售02,,,,0.40,,,2026-05-15
03120T,台灣50凱基5B售07,,,,1.44,,,2026-05-15
03121T,香港2X凱基5C售01,,,,1.35,,,2026-05-15
031229,佳能元大56購01,,,,0.72,,,2026-05-15
03122T,聯發科凱基5B售05,,,,0.65,,,2026-05-15
03123T,臺股指凱基5B售12,,,,1.33,,,2026-05-15
03124T,臺股指凱基5C售18,,,,1.26,,,2026-05-15
031254,材料元大58購02,,,,0.02,,,2026-05-15
03125T,台積電元大5B售09,,,,1.68,,,2026-05-15
031264,昇陽半元大57購01,,,,2.26,,,2026-05-15
031267,和大統一58購01,,,,0.05,,,2026-05-15
031268,川湖統一58購04,,,,2.02,,,2026-05-15
031269,川湖統一62購01,,,,1.94,,,2026-05-15
03126T,聯發科元大5B售07,,,,1.14,,,2026-05-15
